"CONCAT(title, '', release_year,' ',rating)"
"ACADEMY DINOSAUR2006 PG"
"ACE GOLDFINGER2006 G"
"ADAPTATION HOLES2006 NC-17"
"AFFAIR PREJUDICE2006 G"
"AFRICAN EGG2006 G"
"AGENT TRUMAN2006 PG"
"AIRPLANE SIERRA2006 PG-13"
"AIRPORT POLLOCK2006 R"
"ALABAMA DEVIL2006 PG-13"
"ALADDIN CALENDAR2006 NC-17"
"ALAMO VIDEOTAPE2006 G"
"ALASKA PHANTOM2006 PG"
"ALI FOREVER2006 PG"
"ALICE FANTASIA2006 NC-17"
"ALIEN CENTER2006 NC-17"
"ALLEY EVOLUTION2006 NC-17"
"ALONE TRIP2006 R"
"ALTER VICTORY2006 PG-13"
"AMADEUS HOLY2006 PG"
"AMELIE HELLFIGHTERS2006 R"
"AMERICAN CIRCUS2006 R"
"AMISTAD MIDSUMMER2006 G"
"ANACONDA CONFESSIONS2006 R"
"ANALYZE HOOSIERS2006 R"
"ANGELS LIFE2006 G"
"ANNIE IDENTITY2006 G"
"ANONYMOUS HUMAN2006 NC-17"
"ANTHEM LUKE2006 PG-13"
"ANTITRUST TOMATOES2006 NC-17"
"ANYTHING SAVANNAH2006 R"
"APACHE DIVINE2006 NC-17"
"APOCALYPSE FLAMINGOS2006 R"
"APOLLO TEEN2006 PG-13"
"ARABIA DOGMA2006 NC-17"
"ARACHNOPHOBIA ROLLERCOASTER2006 PG-13"
"ARGONAUTS TOWN2006 PG-13"
"ARIZONA BANG2006 PG"
"ARK RIDGEMONT2006 NC-17"
"ARMAGEDDON LOST2006 G"
"ARMY FLINTSTONES2006 R"
"ARSENIC INDEPENDENCE2006 PG"
"ARTIST COLDBLOODED2006 NC-17"
"ATLANTIS CAUSE2006 G"
"ATTACKS HATE2006 PG-13"
"ATTRACTION NEWTON2006 PG-13"
"AUTUMN CROW2006 G"
"BABY HALL2006 NC-17"
"BACKLASH UNDEFEATED2006 PG-13"
"BADMAN DAWN2006 R"
"BAKED CLEOPATRA2006 G"
"BALLOON HOMEWARD2006 NC-17"
"BALLROOM MOCKINGBIRD2006 G"
"BANG KWAI2006 NC-17"
"BANGER PINOCCHIO2006 R"
"BARBARELLA STREETCAR2006 G"
"BAREFOOT MANCHURIAN2006 G"
"BASIC EASY2006 PG-13"
"BEACH HEARTBREAKERS2006 G"
"BEAR GRACELAND2006 R"
"BEAST HUNCHBACK2006 R"
"BEAUTY GREASE2006 G"
"BED HIGHBALL2006 NC-17"
"BEDAZZLED MARRIED2006 PG"
"BEETHOVEN EXORCIST2006 PG-13"
"BEHAVIOR RUNAWAY2006 PG"
"BENEATH RUSH2006 NC-17"
"BERETS AGENT2006 PG-13"
"BETRAYED REAR2006 NC-17"
"BEVERLY OUTLAW2006 R"
"BIKINI BORROWERS2006 NC-17"
"BILKO ANONYMOUS2006 PG-13"
"BILL OTHERS2006 PG"
"BINGO TALENTED2006 PG-13"
"BIRCH ANTITRUST2006 PG"
"BIRD INDEPENDENCE2006 G"
"BIRDCAGE CASPER2006 NC-17"
"BIRDS PERDITION2006 G"
"BLACKOUT PRIVATE2006 PG"
"BLADE POLISH2006 PG-13"
"BLANKET BEVERLY2006 G"
"BLINDNESS GUN2006 PG-13"
"BLOOD ARGONAUTS2006 G"
"BLUES INSTINCT2006 G"
"BOILED DARES2006 PG"
"BONNIE HOLOCAUST2006 G"
"BOOGIE AMELIE2006 R"
"BOONDOCK BALLROOM2006 NC-17"
"BORN SPINAL2006 PG"
"BORROWERS BEDAZZLED2006 G"
"BOULEVARD MOB2006 R"
"BOUND CHEAPER2006 PG"
"BOWFINGER GABLES2006 NC-17"
"BRANNIGAN SUNRISE2006 PG"
"BRAVEHEART HUMAN2006 PG-13"
"BREAKFAST GOLDFINGER2006 G"
"BREAKING HOME2006 PG-13"
"BRIDE INTRIGUE2006 G"
"BRIGHT ENCOUNTERS2006 PG-13"
"BRINGING HYSTERICAL2006 PG"
"BROOKLYN DESERT2006 R"
"BROTHERHOOD BLANKET2006 R"
"BUBBLE GROSSE2006 R"
