actor_id,first_name,film_id,title
1,PENELOPE,1,"ACADEMY DINOSAUR"
1,PENELOPE,23,"ANACONDA CONFESSIONS"
1,PENELOPE,25,"ANGELS LIFE"
1,PENELOPE,106,"BULWORTH COMMANDMENTS"
1,PENELOPE,140,"CHEAPER CLYDE"
1,PENELOPE,166,"COLOR PHILADELPHIA"
1,PENELOPE,277,"ELEPHANT TROJAN"
1,PENELOPE,361,"GLEAMING JAWBREAKER"
1,PENELOPE,438,"HUMAN GRAFFITI"
1,PENELOPE,499,"KING EVOLUTION"
1,PENELOPE,506,"LADY STAGE"
1,PENELOPE,509,"LANGUAGE COWBOY"
1,PENELOPE,605,"MULHOLLAND BEAST"
1,PENELOPE,635,"OKLAHOMA JUMANJI"
1,PENELOPE,749,"RULES HUMAN"
1,PENELOPE,832,"SPLASH GUMP"
1,PENELOPE,939,"VERTIGO NORTHWEST"
1,PENELOPE,970,"WESTWARD SEABISCUIT"
1,PENELOPE,980,"WIZARD COLDBLOODED"
2,NICK,3,"ADAPTATION HOLES"
2,NICK,31,"APACHE DIVINE"
2,NICK,47,"BABY HALL"
2,NICK,105,"BULL SHAWSHANK"
2,NICK,132,"CHAINSAW UPTOWN"
2,NICK,145,"CHISUM BEHAVIOR"
2,NICK,226,"DESTINY SATURDAY"
2,NICK,249,"DRACULA CRYSTAL"
2,NICK,314,"FIGHT JAWBREAKER"
2,NICK,321,"FLASH WARS"
2,NICK,357,"GILBERT PELICAN"
2,NICK,369,"GOODFELLAS SALUTE"
2,NICK,399,"HAPPINESS UNITED"
2,NICK,458,"INDIAN LOVE"
2,NICK,481,"JEKYLL FROGMEN"
2,NICK,485,"JERSEY SASSY"
2,NICK,518,"LIAISONS SWEET"
2,NICK,540,"LUCKY FLYING"
2,NICK,550,"MAGUIRE APACHE"
2,NICK,555,"MALLRATS UNITED"
2,NICK,561,"MASK PEACH"
2,NICK,742,"ROOF CHAMPION"
2,NICK,754,"RUSHMORE MERMAID"
2,NICK,811,"SMILE EARRING"
2,NICK,958,"WARDROBE PHANTOM"
3,ED,17,"ALONE TRIP"
3,ED,40,"ARMY FLINTSTONES"
3,ED,42,"ARTIST COLDBLOODED"
3,ED,87,"BOONDOCK BALLROOM"
3,ED,111,"CADDYSHACK JEDI"
3,ED,185,"COWBOY DOOM"
3,ED,289,"EVE RESURRECTION"
3,ED,329,"FORREST SONS"
3,ED,336,"FRENCH HOLIDAY"
3,ED,341,"FROST HEAD"
3,ED,393,"HALLOWEEN NUTS"
3,ED,441,"HUNTER ALTER"
3,ED,453,"IMAGE PRINCESS"
3,ED,480,"JEEPERS WEDDING"
3,ED,539,"LUCK OPUS"
3,ED,618,"NECKLACE OUTBREAK"
3,ED,685,"PLATOON INSTINCT"
3,ED,827,"SPICE SORORITY"
3,ED,966,"WEDDING APOLLO"
3,ED,967,"WEEKEND PERSONAL"
3,ED,971,"WHALE BIKINI"
3,ED,996,"YOUNG LANGUAGE"
4,JENNIFER,23,"ANACONDA CONFESSIONS"
4,JENNIFER,25,"ANGELS LIFE"
4,JENNIFER,56,"BAREFOOT MANCHURIAN"
4,JENNIFER,62,"BED HIGHBALL"
4,JENNIFER,79,"BLADE POLISH"
4,JENNIFER,87,"BOONDOCK BALLROOM"
4,JENNIFER,355,"GHOSTBUSTERS ELF"
4,JENNIFER,379,"GREEDY ROOTS"
4,JENNIFER,398,"HANOVER GALAXY"
4,JENNIFER,463,"INSTINCT AIRPORT"
4,JENNIFER,490,"JUMANJI BLADE"
4,JENNIFER,616,"NATIONAL STORY"
4,JENNIFER,635,"OKLAHOMA JUMANJI"
4,JENNIFER,691,"POSEIDON FOREVER"
4,JENNIFER,712,"RAIDERS ANTITRUST"
4,JENNIFER,714,"RANDOM GO"
4,JENNIFER,721,"REDS POCUS"
4,JENNIFER,798,"SILVERADO GOLDFINGER"
4,JENNIFER,832,"SPLASH GUMP"
4,JENNIFER,858,"SUBMARINE BED"
4,JENNIFER,909,"TREASURE COMMAND"
4,JENNIFER,924,"UNFORGIVEN ZOOLANDER"
5,JOHNNY,19,"AMADEUS HOLY"
5,JOHNNY,54,"BANGER PINOCCHIO"
5,JOHNNY,85,"BONNIE HOLOCAUST"
5,JOHNNY,146,"CHITTY LOCK"
5,JOHNNY,171,"COMMANDMENTS EXPRESS"
5,JOHNNY,172,"CONEHEADS SMOOCHY"
5,JOHNNY,202,"DADDY PITTSBURGH"
5,JOHNNY,203,"DAISY MENAGERIE"
5,JOHNNY,286,"ENOUGH RAGING"
5,JOHNNY,288,"ESCAPE METROPOLIS"
5,JOHNNY,316,"FIRE WOLVES"
5,JOHNNY,340,"FRONTIER CABIN"
5,JOHNNY,369,"GOODFELLAS SALUTE"
5,JOHNNY,375,"GRAIL FRANKENSTEIN"
5,JOHNNY,383,"GROOVE FICTION"
5,JOHNNY,392,"HALL CASSIDY"
5,JOHNNY,411,"HEAVENLY GUN"
5,JOHNNY,503,"KRAMER CHOCOLATE"
5,JOHNNY,535,"LOVE SUICIDES"
5,JOHNNY,571,"METAL ARMAGEDDON"
5,JOHNNY,650,"PACIFIC AMISTAD"
5,JOHNNY,665,"PATTON INTERVIEW"
5,JOHNNY,687,"POCUS PULP"
5,JOHNNY,730,"RIDGEMONT SUBMARINE"
5,JOHNNY,732,"RINGS HEARTBREAKERS"
5,JOHNNY,811,"SMILE EARRING"
5,JOHNNY,817,"SOLDIERS EVOLUTION"
5,JOHNNY,841,"STAR OPERATION"
5,JOHNNY,865,"SUNRISE LEAGUE"
6,BETTE,29,"ANTITRUST TOMATOES"
6,BETTE,53,"BANG KWAI"
6,BETTE,60,"BEAST HUNCHBACK"
6,BETTE,70,"BIKINI BORROWERS"
6,BETTE,112,"CALENDAR GUNFIGHT"
6,BETTE,164,"COAST RAINBOW"
6,BETTE,165,"COLDBLOODED DARLING"
6,BETTE,193,"CROSSROADS CASUALTIES"
6,BETTE,256,"DROP WATERFRONT"
6,BETTE,451,"IGBY MAKER"
6,BETTE,503,"KRAMER CHOCOLATE"
6,BETTE,509,"LANGUAGE COWBOY"
6,BETTE,517,"LESSON CLEOPATRA"
6,BETTE,519,"LIBERTY MAGNIFICENT"
6,BETTE,605,"MULHOLLAND BEAST"
6,BETTE,692,"POTLUCK MIXED"
6,BETTE,826,"SPEED SUIT"
6,BETTE,892,"TITANIC BOONDOCK"
6,BETTE,902,"TRADING PINOCCHIO"
6,BETTE,994,"WYOMING STORM"
7,GRACE,25,"ANGELS LIFE"
7,GRACE,27,"ANONYMOUS HUMAN"
7,GRACE,35,"ARACHNOPHOBIA ROLLERCOASTER"
7,GRACE,67,"BERETS AGENT"
7,GRACE,96,"BREAKING HOME"
7,GRACE,170,"COMMAND DARLING"
7,GRACE,173,"CONFESSIONS MAGUIRE"
7,GRACE,217,"DAZED PUNK"
7,GRACE,218,"DECEIVER BETRAYED"
7,GRACE,225,"DESTINATION JERK"
7,GRACE,292,"EXCITEMENT EVE"
7,GRACE,351,"GASLIGHT CRUSADE"
7,GRACE,414,"HELLFIGHTERS SIERRA"
7,GRACE,463,"INSTINCT AIRPORT"
7,GRACE,554,"MALKOVICH PET"
7,GRACE,618,"NECKLACE OUTBREAK"
7,GRACE,633,"OCTOBER SUBMARINE"
7,GRACE,637,"OPEN AFRICAN"
7,GRACE,691,"POSEIDON FOREVER"
7,GRACE,758,"SAINTS BRIDE"
7,GRACE,766,"SAVANNAH TOWN"
7,GRACE,770,"SCISSORHANDS SLUMS"
7,GRACE,805,"SLEEPLESS MONSOON"
7,GRACE,806,"SLEEPY JAPANESE"
7,GRACE,846,"STING PERSONAL"
7,GRACE,900,"TOWN ARK"
7,GRACE,901,"TRACY CIDER"
7,GRACE,910,"TREATMENT JEKYLL"
7,GRACE,957,"WAR NOTTING"
7,GRACE,959,"WARLOCK WEREWOLF"
8,MATTHEW,47,"BABY HALL"
8,MATTHEW,115,"CAMPUS REMEMBER"
8,MATTHEW,158,"CLONES PINOCCHIO"
8,MATTHEW,179,"CONQUERER NUTS"
8,MATTHEW,195,"CROWDS TELEMARK"
8,MATTHEW,205,"DANCES NONE"
8,MATTHEW,255,"DRIVING POLISH"
8,MATTHEW,263,"DURHAM PANKY"
8,MATTHEW,321,"FLASH WARS"
8,MATTHEW,396,"HANGING DEEP"
8,MATTHEW,458,"INDIAN LOVE"
8,MATTHEW,523,"LIGHTS DEER"
8,MATTHEW,532,"LOSER HUSTLER"
8,MATTHEW,554,"MALKOVICH PET"
8,MATTHEW,752,"RUNNER MADIGAN"
8,MATTHEW,769,"SCHOOL JACKET"
8,MATTHEW,771,"SCORPION APOLLO"
8,MATTHEW,859,"SUGAR WONKA"
8,MATTHEW,895,"TOMORROW HUSTLER"
8,MATTHEW,936,"VANISHING ROCKY"
9,JOE,30,"ANYTHING SAVANNAH"
9,JOE,74,"BIRCH ANTITRUST"
9,JOE,147,"CHOCOLAT HARRY"
9,JOE,148,"CHOCOLATE DUCK"
9,JOE,191,"CROOKED FROGMEN"
9,JOE,200,"CURTAIN VIDEOTAPE"
9,JOE,204,"DALMATIONS SWEDEN"
9,JOE,434,"HORROR REIGN"
9,JOE,510,"LAWLESS VISION"
9,JOE,514,"LEBOWSKI SOLDIERS"
9,JOE,552,"MAJESTIC FLOATS"
9,JOE,650,"PACIFIC AMISTAD"
9,JOE,671,"PERDITION FARGO"
9,JOE,697,"PRIMARY GLASS"
9,JOE,722,"REEF SALUTE"
9,JOE,752,"RUNNER MADIGAN"
9,JOE,811,"SMILE EARRING"
9,JOE,815,"SNATCHERS MONTEZUMA"
9,JOE,865,"SUNRISE LEAGUE"
