film_id,title,rating,público-alvo
1,"ACADEMY DINOSAUR",PG,"Não recomendado para menores de 10 anos"
2,"ACE GOLDFINGER",G,"Livre para todos"
3,"ADAPTATION HOLES",NC-17,"Proibido para menores de idade"
4,"AFFAIR PREJUDICE",G,"Livre para todos"
5,"AFRICAN EGG",G,"Livre para todos"
6,"AGENT TRUMAN",PG,"Não recomendado para menores de 10 anos"
7,"AIRPLANE SIERRA",PG-13,"Não recomendado para menores de 13 anos"
8,"AIRPORT POLLOCK",R,"Não recomendado para menores de 17 anos"
9,"ALABAMA DEVIL",PG-13,"Não recomendado para menores de 13 anos"
10,"ALADDIN CALENDAR",NC-17,"Proibido para menores de idade"
11,"ALAMO VIDEOTAPE",G,"Livre para todos"
12,"ALASKA PHANTOM",PG,"Não recomendado para menores de 10 anos"
13,"ALI FOREVER",PG,"Não recomendado para menores de 10 anos"
14,"ALICE FANTASIA",NC-17,"Proibido para menores de idade"
15,"ALIEN CENTER",NC-17,"Proibido para menores de idade"
16,"ALLEY EVOLUTION",NC-17,"Proibido para menores de idade"
17,"ALONE TRIP",R,"Não recomendado para menores de 17 anos"
18,"ALTER VICTORY",PG-13,"Não recomendado para menores de 13 anos"
19,"AMADEUS HOLY",PG,"Não recomendado para menores de 10 anos"
20,"AMELIE HELLFIGHTERS",R,"Não recomendado para menores de 17 anos"
21,"AMERICAN CIRCUS",R,"Não recomendado para menores de 17 anos"
22,"AMISTAD MIDSUMMER",G,"Livre para todos"
23,"ANACONDA CONFESSIONS",R,"Não recomendado para menores de 17 anos"
24,"ANALYZE HOOSIERS",R,"Não recomendado para menores de 17 anos"
25,"ANGELS LIFE",G,"Livre para todos"
26,"ANNIE IDENTITY",G,"Livre para todos"
27,"ANONYMOUS HUMAN",NC-17,"Proibido para menores de idade"
28,"ANTHEM LUKE",PG-13,"Não recomendado para menores de 13 anos"
29,"ANTITRUST TOMATOES",NC-17,"Proibido para menores de idade"
30,"ANYTHING SAVANNAH",R,"Não recomendado para menores de 17 anos"
31,"APACHE DIVINE",NC-17,"Proibido para menores de idade"
32,"APOCALYPSE FLAMINGOS",R,"Não recomendado para menores de 17 anos"
33,"APOLLO TEEN",PG-13,"Não recomendado para menores de 13 anos"
34,"ARABIA DOGMA",NC-17,"Proibido para menores de idade"
35,"ARACHNOPHOBIA ROLLERCOASTER",PG-13,"Não recomendado para menores de 13 anos"
36,"ARGONAUTS TOWN",PG-13,"Não recomendado para menores de 13 anos"
37,"ARIZONA BANG",PG,"Não recomendado para menores de 10 anos"
38,"ARK RIDGEMONT",NC-17,"Proibido para menores de idade"
39,"ARMAGEDDON LOST",G,"Livre para todos"
40,"ARMY FLINTSTONES",R,"Não recomendado para menores de 17 anos"
41,"ARSENIC INDEPENDENCE",PG,"Não recomendado para menores de 10 anos"
42,"ARTIST COLDBLOODED",NC-17,"Proibido para menores de idade"
43,"ATLANTIS CAUSE",G,"Livre para todos"
44,"ATTACKS HATE",PG-13,"Não recomendado para menores de 13 anos"
45,"ATTRACTION NEWTON",PG-13,"Não recomendado para menores de 13 anos"
46,"AUTUMN CROW",G,"Livre para todos"
47,"BABY HALL",NC-17,"Proibido para menores de idade"
48,"BACKLASH UNDEFEATED",PG-13,"Não recomendado para menores de 13 anos"
49,"BADMAN DAWN",R,"Não recomendado para menores de 17 anos"
50,"BAKED CLEOPATRA",G,"Livre para todos"
51,"BALLOON HOMEWARD",NC-17,"Proibido para menores de idade"
52,"BALLROOM MOCKINGBIRD",G,"Livre para todos"
53,"BANG KWAI",NC-17,"Proibido para menores de idade"
54,"BANGER PINOCCHIO",R,"Não recomendado para menores de 17 anos"
55,"BARBARELLA STREETCAR",G,"Livre para todos"
56,"BAREFOOT MANCHURIAN",G,"Livre para todos"
57,"BASIC EASY",PG-13,"Não recomendado para menores de 13 anos"
58,"BEACH HEARTBREAKERS",G,"Livre para todos"
59,"BEAR GRACELAND",R,"Não recomendado para menores de 17 anos"
60,"BEAST HUNCHBACK",R,"Não recomendado para menores de 17 anos"
61,"BEAUTY GREASE",G,"Livre para todos"
62,"BED HIGHBALL",NC-17,"Proibido para menores de idade"
63,"BEDAZZLED MARRIED",PG,"Não recomendado para menores de 10 anos"
64,"BEETHOVEN EXORCIST",PG-13,"Não recomendado para menores de 13 anos"
65,"BEHAVIOR RUNAWAY",PG,"Não recomendado para menores de 10 anos"
66,"BENEATH RUSH",NC-17,"Proibido para menores de idade"
67,"BERETS AGENT",PG-13,"Não recomendado para menores de 13 anos"
68,"BETRAYED REAR",NC-17,"Proibido para menores de idade"
69,"BEVERLY OUTLAW",R,"Não recomendado para menores de 17 anos"
70,"BIKINI BORROWERS",NC-17,"Proibido para menores de idade"
71,"BILKO ANONYMOUS",PG-13,"Não recomendado para menores de 13 anos"
72,"BILL OTHERS",PG,"Não recomendado para menores de 10 anos"
73,"BINGO TALENTED",PG-13,"Não recomendado para menores de 13 anos"
74,"BIRCH ANTITRUST",PG,"Não recomendado para menores de 10 anos"
75,"BIRD INDEPENDENCE",G,"Livre para todos"
76,"BIRDCAGE CASPER",NC-17,"Proibido para menores de idade"
77,"BIRDS PERDITION",G,"Livre para todos"
78,"BLACKOUT PRIVATE",PG,"Não recomendado para menores de 10 anos"
79,"BLADE POLISH",PG-13,"Não recomendado para menores de 13 anos"
80,"BLANKET BEVERLY",G,"Livre para todos"
81,"BLINDNESS GUN",PG-13,"Não recomendado para menores de 13 anos"
82,"BLOOD ARGONAUTS",G,"Livre para todos"
83,"BLUES INSTINCT",G,"Livre para todos"
84,"BOILED DARES",PG,"Não recomendado para menores de 10 anos"
85,"BONNIE HOLOCAUST",G,"Livre para todos"
86,"BOOGIE AMELIE",R,"Não recomendado para menores de 17 anos"
87,"BOONDOCK BALLROOM",NC-17,"Proibido para menores de idade"
88,"BORN SPINAL",PG,"Não recomendado para menores de 10 anos"
89,"BORROWERS BEDAZZLED",G,"Livre para todos"
90,"BOULEVARD MOB",R,"Não recomendado para menores de 17 anos"
91,"BOUND CHEAPER",PG,"Não recomendado para menores de 10 anos"
92,"BOWFINGER GABLES",NC-17,"Proibido para menores de idade"
93,"BRANNIGAN SUNRISE",PG,"Não recomendado para menores de 10 anos"
94,"BRAVEHEART HUMAN",PG-13,"Não recomendado para menores de 13 anos"
95,"BREAKFAST GOLDFINGER",G,"Livre para todos"
96,"BREAKING HOME",PG-13,"Não recomendado para menores de 13 anos"
97,"BRIDE INTRIGUE",G,"Livre para todos"
98,"BRIGHT ENCOUNTERS",PG-13,"Não recomendado para menores de 13 anos"
99,"BRINGING HYSTERICAL",PG,"Não recomendado para menores de 10 anos"
100,"BROOKLYN DESERT",R,"Não recomendado para menores de 17 anos"
101,"BROTHERHOOD BLANKET",R,"Não recomendado para menores de 17 anos"
102,"BUBBLE GROSSE",R,"Não recomendado para menores de 17 anos"
103,"BUCKET BROTHERHOOD",PG,"Não recomendado para menores de 10 anos"
104,"BUGSY SONG",G,"Livre para todos"
105,"BULL SHAWSHANK",NC-17,"Proibido para menores de idade"
106,"BULWORTH COMMANDMENTS",G,"Livre para todos"
107,"BUNCH MINDS",G,"Livre para todos"
108,"BUTCH PANTHER",PG-13,"Não recomendado para menores de 13 anos"
109,"BUTTERFLY CHOCOLAT",G,"Livre para todos"
110,"CABIN FLASH",NC-17,"Proibido para menores de idade"
111,"CADDYSHACK JEDI",NC-17,"Proibido para menores de idade"
112,"CALENDAR GUNFIGHT",NC-17,"Proibido para menores de idade"
113,"CALIFORNIA BIRDS",NC-17,"Proibido para menores de idade"
114,"CAMELOT VACATION",NC-17,"Proibido para menores de idade"
115,"CAMPUS REMEMBER",R,"Não recomendado para menores de 17 anos"
116,"CANDIDATE PERDITION",R,"Não recomendado para menores de 17 anos"
117,"CANDLES GRAPES",NC-17,"Proibido para menores de idade"
118,"CANYON STOCK",R,"Não recomendado para menores de 17 anos"
119,"CAPER MOTIONS",G,"Livre para todos"
120,"CARIBBEAN LIBERTY",NC-17,"Proibido para menores de idade"
121,"CAROL TEXAS",PG,"Não recomendado para menores de 10 anos"
122,"CARRIE BUNCH",PG,"Não recomendado para menores de 10 anos"
123,"CASABLANCA SUPER",G,"Livre para todos"
124,"CASPER DRAGONFLY",PG-13,"Não recomendado para menores de 13 anos"
125,"CASSIDY WYOMING",NC-17,"Proibido para menores de idade"
126,"CASUALTIES ENCINO",G,"Livre para todos"
127,"CAT CONEHEADS",G,"Livre para todos"
128,"CATCH AMISTAD",G,"Livre para todos"
129,"CAUSE DATE",R,"Não recomendado para menores de 17 anos"
130,"CELEBRITY HORN",PG-13,"Não recomendado para menores de 13 anos"
131,"CENTER DINOSAUR",PG,"Não recomendado para menores de 10 anos"
132,"CHAINSAW UPTOWN",PG,"Não recomendado para menores de 10 anos"
133,"CHAMBER ITALIAN",NC-17,"Proibido para menores de idade"
134,"CHAMPION FLATLINERS",PG,"Não recomendado para menores de 10 anos"
135,"CHANCE RESURRECTION",R,"Não recomendado para menores de 17 anos"
136,"CHAPLIN LICENSE",NC-17,"Proibido para menores de idade"
137,"CHARADE DUFFEL",PG,"Não recomendado para menores de 10 anos"
138,"CHARIOTS CONSPIRACY",R,"Não recomendado para menores de 17 anos"
139,"CHASING FIGHT",PG,"Não recomendado para menores de 10 anos"
140,"CHEAPER CLYDE",G,"Livre para todos"
141,"CHICAGO NORTH",PG-13,"Não recomendado para menores de 13 anos"
142,"CHICKEN HELLFIGHTERS",PG,"Não recomendado para menores de 10 anos"
143,"CHILL LUCK",PG,"Não recomendado para menores de 10 anos"
144,"CHINATOWN GLADIATOR",PG,"Não recomendado para menores de 10 anos"
145,"CHISUM BEHAVIOR",G,"Livre para todos"
146,"CHITTY LOCK",G,"Livre para todos"
147,"CHOCOLAT HARRY",NC-17,"Proibido para menores de idade"
148,"CHOCOLATE DUCK",R,"Não recomendado para menores de 17 anos"
149,"CHRISTMAS MOONSHINE",NC-17,"Proibido para menores de idade"
150,"CIDER DESIRE",PG,"Não recomendado para menores de 10 anos"
151,"CINCINATTI WHISPERER",NC-17,"Proibido para menores de idade"
152,"CIRCUS YOUTH",PG-13,"Não recomendado para menores de 13 anos"
153,"CITIZEN SHREK",G,"Livre para todos"
154,"CLASH FREDDY",G,"Livre para todos"
155,"CLEOPATRA DEVIL",PG-13,"Não recomendado para menores de 13 anos"
156,"CLERKS ANGELS",G,"Livre para todos"
157,"CLOCKWORK PARADISE",PG-13,"Não recomendado para menores de 13 anos"
158,"CLONES PINOCCHIO",R,"Não recomendado para menores de 17 anos"
159,"CLOSER BANG",R,"Não recomendado para menores de 17 anos"
160,"CLUB GRAFFITI",PG-13,"Não recomendado para menores de 13 anos"
161,"CLUE GRAIL",NC-17,"Proibido para menores de idade"
162,"CLUELESS BUCKET",R,"Não recomendado para menores de 17 anos"
163,"CLYDE THEORY",PG-13,"Não recomendado para menores de 13 anos"
164,"COAST RAINBOW",PG,"Não recomendado para menores de 10 anos"
165,"COLDBLOODED DARLING",G,"Livre para todos"
166,"COLOR PHILADELPHIA",G,"Livre para todos"
167,"COMA HEAD",NC-17,"Proibido para menores de idade"
168,"COMANCHEROS ENEMY",R,"Não recomendado para menores de 17 anos"
169,"COMFORTS RUSH",NC-17,"Proibido para menores de idade"
170,"COMMAND DARLING",PG-13,"Não recomendado para menores de 13 anos"
171,"COMMANDMENTS EXPRESS",R,"Não recomendado para menores de 17 anos"
172,"CONEHEADS SMOOCHY",NC-17,"Proibido para menores de idade"
173,"CONFESSIONS MAGUIRE",PG-13,"Não recomendado para menores de 13 anos"
174,"CONFIDENTIAL INTERVIEW",NC-17,"Proibido para menores de idade"
175,"CONFUSED CANDLES",PG-13,"Não recomendado para menores de 13 anos"
176,"CONGENIALITY QUEST",PG-13,"Não recomendado para menores de 13 anos"
177,"CONNECTICUT TRAMP",R,"Não recomendado para menores de 17 anos"
178,"CONNECTION MICROCOSMOS",G,"Livre para todos"
179,"CONQUERER NUTS",G,"Livre para todos"
180,"CONSPIRACY SPIRIT",PG-13,"Não recomendado para menores de 13 anos"
181,"CONTACT ANONYMOUS",PG-13,"Não recomendado para menores de 13 anos"
182,"CONTROL ANTHEM",G,"Livre para todos"
183,"CONVERSATION DOWNHILL",R,"Não recomendado para menores de 17 anos"
184,"CORE SUIT",PG-13,"Não recomendado para menores de 13 anos"
185,"COWBOY DOOM",PG,"Não recomendado para menores de 10 anos"
186,"CRAFT OUTFIELD",NC-17,"Proibido para menores de idade"
187,"CRANES RESERVOIR",NC-17,"Proibido para menores de idade"
