actor_id,first_name,film_id
1,PENELOPE,1
1,PENELOPE,23
1,PENELOPE,25
1,PENELOPE,106
1,PENELOPE,140
1,PENELOPE,166
1,PENELOPE,277
1,PENELOPE,361
1,PENELOPE,438
1,PENELOPE,499
1,PENELOPE,506
1,PENELOPE,509
1,PENELOPE,605
1,PENELOPE,635
1,PENELOPE,749
1,PENELOPE,832
1,PENELOPE,939
1,PENELOPE,970
1,PENELOPE,980
2,NICK,3
2,NICK,31
2,NICK,47
2,NICK,105
2,NICK,132
2,NICK,145
2,NICK,226
2,NICK,249
2,NICK,314
2,NICK,321
2,NICK,357
2,NICK,369
2,NICK,399
2,NICK,458
2,NICK,481
2,NICK,485
2,NICK,518
2,NICK,540
2,NICK,550
2,NICK,555
2,NICK,561
2,NICK,742
2,NICK,754
2,NICK,811
2,NICK,958
3,ED,17
3,ED,40
3,ED,42
3,ED,87
3,ED,111
3,ED,185
3,ED,289
3,ED,329
3,ED,336
3,ED,341
3,ED,393
3,ED,441
3,ED,453
3,ED,480
3,ED,539
3,ED,618
3,ED,685
3,ED,827
3,ED,966
3,ED,967
3,ED,971
3,ED,996
4,JENNIFER,23
4,JENNIFER,25
4,JENNIFER,56
4,JENNIFER,62
4,JENNIFER,79
4,JENNIFER,87
4,JENNIFER,355
4,JENNIFER,379
4,JENNIFER,398
4,JENNIFER,463
4,JENNIFER,490
4,JENNIFER,616
4,JENNIFER,635
4,JENNIFER,691
4,JENNIFER,712
4,JENNIFER,714
4,JENNIFER,721
4,JENNIFER,798
4,JENNIFER,832
4,JENNIFER,858
4,JENNIFER,909
4,JENNIFER,924
5,JOHNNY,19
5,JOHNNY,54
5,JOHNNY,85
5,JOHNNY,146
5,JOHNNY,171
5,JOHNNY,172
5,JOHNNY,202
5,JOHNNY,203
5,JOHNNY,286
5,JOHNNY,288
5,JOHNNY,316
5,JOHNNY,340
5,JOHNNY,369
5,JOHNNY,375
5,JOHNNY,383
5,JOHNNY,392
5,JOHNNY,411
5,JOHNNY,503
5,JOHNNY,535
5,JOHNNY,571
5,JOHNNY,650
5,JOHNNY,665
5,JOHNNY,687
5,JOHNNY,730
5,JOHNNY,732
5,JOHNNY,811
5,JOHNNY,817
5,JOHNNY,841
5,JOHNNY,865
6,BETTE,29
6,BETTE,53
6,BETTE,60
6,BETTE,70
6,BETTE,112
6,BETTE,164
6,BETTE,165
6,BETTE,193
6,BETTE,256
6,BETTE,451
6,BETTE,503
6,BETTE,509
6,BETTE,517
6,BETTE,519
6,BETTE,605
6,BETTE,692
6,BETTE,826
6,BETTE,892
6,BETTE,902
6,BETTE,994
7,GRACE,25
7,GRACE,27
7,GRACE,35
7,GRACE,67
7,GRACE,96
7,GRACE,170
7,GRACE,173
7,GRACE,217
7,GRACE,218
7,GRACE,225
7,GRACE,292
7,GRACE,351
7,GRACE,414
7,GRACE,463
7,GRACE,554
7,GRACE,618
7,GRACE,633
7,GRACE,637
7,GRACE,691
7,GRACE,758
7,GRACE,766
7,GRACE,770
7,GRACE,805
7,GRACE,806
7,GRACE,846
7,GRACE,900
7,GRACE,901
7,GRACE,910
7,GRACE,957
7,GRACE,959
8,MATTHEW,47
8,MATTHEW,115
8,MATTHEW,158
8,MATTHEW,179
8,MATTHEW,195
8,MATTHEW,205
8,MATTHEW,255
8,MATTHEW,263
8,MATTHEW,321
8,MATTHEW,396
8,MATTHEW,458
8,MATTHEW,523
8,MATTHEW,532
8,MATTHEW,554
8,MATTHEW,752
