film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,NULL,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,1,NULL,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,1,NULL,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
60,"BEAST HUNCHBACK","A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China",2006,1,NULL,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
67,"BERETS AGENT","A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China",2006,1,NULL,5,2.99,77,24.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
90,"BOULEVARD MOB","A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China",2006,1,NULL,3,0.99,63,11.99,R,Trailers,"2006-02-15 05:03:42"
135,"CHANCE RESURRECTION","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,NULL,3,2.99,70,22.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
148,"CHOCOLATE DUCK","A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China",2006,1,NULL,3,2.99,132,13.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
161,"CLUE GRAIL","A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China",2006,1,NULL,6,4.99,70,27.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
250,"DRAGON SQUAD","A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China",2006,1,NULL,4,0.99,170,26.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
256,"DROP WATERFRONT","A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China",2006,1,NULL,6,4.99,178,20.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
